Acelerômetro;X = 62;Y = -13 ;Z = 2198
Acelerômetro;X = 55;Y = -2 ;Z = 2184
Acelerômetro;X = 33;Y = -14 ;Z = 2188
Acelerômetro;X = 57;Y = -7 ;Z = 2180
Acelerômetro;X = 68;Y = 4 ;Z = 2209
Acelerômetro;X = 56;Y = 7 ;Z = 2209
Acelerômetro;X = 58;Y = -19 ;Z = 2204
Acelerômetro;X = 45;Y = -6 ;Z = 2210
Acelerômetro;X = 49;Y = -9 ;Z = 2200
Acelerômetro;X = 54;Y = -10 ;Z = 2195
Acelerômetro;X = 52;Y = -12 ;Z = 2208
Acelerômetro;X = 57;Y = -6 ;Z = 2194
Acelerômetro;X = 47;Y = -1 ;Z = 2213
Acelerômetro;X = 54;Y = -5 ;Z = 2201
Acelerômetro;X = 52;Y = -5 ;Z = 2197
Acelerômetro;X = 46;Y = -9 ;Z = 2192
Acelerômetro;X = 53;Y = -21 ;Z = 2218
Acelerômetro;X = 51;Y = 7 ;Z = 2190
Acelerômetro;X = 36;Y = -18 ;Z = 2184
Acelerômetro;X = 50;Y = -11 ;Z = 2193
Acelerômetro;X = 51;Y = -3 ;Z = 2193
Acelerômetro;X = 49;Y = -9 ;Z = 2195
Acelerômetro;X = 47;Y = 2 ;Z = 2192
Acelerômetro;X = 64;Y = -6 ;Z = 2203
Acelerômetro;X = 47;Y = -2 ;Z = 2196
Acelerômetro;X = 61;Y = -3 ;Z = 2204
Acelerômetro;X = 52;Y = -10 ;Z = 2215
Acelerômetro;X = 47;Y = -11 ;Z = 2205
Acelerômetro;X = 56;Y = -5 ;Z = 2214
Acelerômetro;X = 54;Y = -12 ;Z = 2193
Acelerômetro;X = 49;Y = -6 ;Z = 2205
Acelerômetro;X = 55;Y = -12 ;Z = 2203
Acelerômetro;X = 45;Y = 6 ;Z = 2190
Acelerômetro;X = 56;Y = -4 ;Z = 2192
Acelerômetro;X = 57;Y = 4 ;Z = 2197
Acelerômetro;X = 58;Y = -7 ;Z = 2199
Acelerômetro;X = 56;Y = -13 ;Z = 2209
Acelerômetro;X = 41;Y = 4 ;Z = 2196
Acelerômetro;X = 63;Y = 10 ;Z = 2190
Acelerômetro;X = 55;Y = -3 ;Z = 2211
Acelerômetro;X = 57;Y = -6 ;Z = 2198
Acelerômetro;X = 53;Y = -13 ;Z = 2201
Acelerômetro;X = 52;Y = -3 ;Z = 2192
Acelerômetro;X = 55;Y = 2 ;Z = 2170
Acelerômetro;X = 59;Y = -9 ;Z = 2194
Acelerômetro;X = 57;Y = -11 ;Z = 2201
Acelerômetro;X = 60;Y = -7 ;Z = 2199
Acelerômetro;X = 46;Y = -18 ;Z = 2194
Acelerômetro;X = 49;Y = -10 ;Z = 2208
Acelerômetro;X = 32;Y = -12 ;Z = 2202
Acelerômetro;X = 46;Y = 0 ;Z = 2197
Acelerômetro;X = 49;Y = -14 ;Z = 2197
Acelerômetro;X = 43;Y = -8 ;Z = 2197
Acelerômetro;X = 49;Y = -2 ;Z = 2201
Acelerômetro;X = 48;Y = -2 ;Z = 2204
Acelerômetro;X = 55;Y = 1 ;Z = 2190
Acelerômetro;X = 37;Y = 1 ;Z = 2202
Acelerômetro;X = 55;Y = -7 ;Z = 2191
Acelerômetro;X = 46;Y = -1 ;Z = 2197
Acelerômetro;X = 35;Y = -14 ;Z = 2204
Acelerômetro;X = 59;Y = 5 ;Z = 2193
Acelerômetro;X = 58;Y = -5 ;Z = 2208
Acelerômetro;X = 47;Y = -1 ;Z = 2203
Acelerômetro;X = 60;Y = -11 ;Z = 2191
Acelerômetro;X = 41;Y = 5 ;Z = 2201
Acelerômetro;X = 52;Y = -1 ;Z = 2190
Acelerômetro;X = 61;Y = -1 ;Z = 2200
Acelerômetro;X = 52;Y = 0 ;Z = 2188
Acelerômetro;X = 42;Y = -4 ;Z = 2190
Acelerômetro;X = 61;Y = -17 ;Z = 2194
Acelerômetro;X = 48;Y = 1 ;Z = 2199
Acelerômetro;X = 48;Y = -4 ;Z = 2198
Acelerômetro;X = 48;Y = -12 ;Z = 2201
Acelerômetro;X = 58;Y = 3 ;Z = 2191
Acelerômetro;X = 50;Y = -6 ;Z = 2191
Acelerômetro;X = 52;Y = -8 ;Z = 2190
Acelerômetro;X = 47;Y = -7 ;Z = 2206
Acelerômetro;X = 58;Y = 4 ;Z = 2196
Acelerômetro;X = 55;Y = -8 ;Z = 2203
Acelerômetro;X = 44;Y = -10 ;Z = 2213
Acelerômetro;X = 48;Y = -8 ;Z = 2186
Acelerômetro;X = 48;Y = -2 ;Z = 2212
Acelerômetro;X = 51;Y = -4 ;Z = 2188
Acelerômetro;X = 52;Y = -15 ;Z = 2189
Acelerômetro;X = 51;Y = -15 ;Z = 2210
Acelerômetro;X = 52;Y = -4 ;Z = 2205
Acelerômetro;X = 57;Y = -6 ;Z = 2207
Acelerômetro;X = 59;Y = 13 ;Z = 2204
Acelerômetro;X = 50;Y = -4 ;Z = 2198
Acelerômetro;X = 43;Y = -15 ;Z = 2196
Acelerômetro;X = 55;Y = 1 ;Z = 2185
Acelerômetro;X = 45;Y = -10 ;Z = 2197
Acelerômetro;X = 49;Y = -4 ;Z = 2218
Acelerômetro;X = 52;Y = -1 ;Z = 2200
Acelerômetro;X = 54;Y = -3 ;Z = 2204
Acelerômetro;X = 59;Y = -12 ;Z = 2205
Acelerômetro;X = 54;Y = 1 ;Z = 2192
Acelerômetro;X = 48;Y = -16 ;Z = 2193
Acelerômetro;X = 50;Y = 8 ;Z = 2198
Acelerômetro;X = 62;Y = 5 ;Z = 2189
Acelerômetro;X = 59;Y = -10 ;Z = 2206
Acelerômetro;X = 49;Y = 5 ;Z = 2209
Acelerômetro;X = 64;Y = -4 ;Z = 2210
Acelerômetro;X = 54;Y = -6 ;Z = 2183
Acelerômetro;X = 51;Y = -7 ;Z = 2207
Acelerômetro;X = 51;Y = 1 ;Z = 2199
Acelerômetro;X = 58;Y = -9 ;Z = 2187
Acelerômetro;X = 34;Y = -2 ;Z = 2189
Acelerômetro;X = 55;Y = -5 ;Z = 2191
Acelerômetro;X = 53;Y = 8 ;Z = 2210
Acelerômetro;X = 53;Y = -7 ;Z = 2183
Acelerômetro;X = 44;Y = -1 ;Z = 2207
Acelerômetro;X = 48;Y = 4 ;Z = 2183
Acelerômetro;X = 49;Y = -3 ;Z = 2214
Acelerômetro;X = 51;Y = -10 ;Z = 2206
Acelerômetro;X = 52;Y = -4 ;Z = 2208
Acelerômetro;X = 47;Y = -3 ;Z = 2208
Acelerômetro;X = 52;Y = 2 ;Z = 2191
Acelerômetro;X = 49;Y = 3 ;Z = 2200
Acelerômetro;X = 57;Y = 6 ;Z = 2208
Acelerômetro;X = 60;Y = -10 ;Z = 2199
Acelerômetro;X = 56;Y = 1 ;Z = 2193
Acelerômetro;X = 54;Y = -4 ;Z = 2198
Acelerômetro;X = 56;Y = 0 ;Z = 2206
Acelerômetro;X = 46;Y = 2 ;Z = 2201
Acelerômetro;X = 47;Y = 5 ;Z = 2212
Acelerômetro;X = 50;Y = -3 ;Z = 2198
Acelerômetro;X = 51;Y = -12 ;Z = 2205
Acelerômetro;X = 46;Y = -2 ;Z = 2199
Acelerômetro;X = 45;Y = -6 ;Z = 2184
Acelerômetro;X = 38;Y = -2 ;Z = 2202
Acelerômetro;X = 53;Y = -11 ;Z = 2204
Acelerômetro;X = 39;Y = -11 ;Z = 2194
Acelerômetro;X = 63;Y = 3 ;Z = 2199
Acelerômetro;X = 60;Y = -3 ;Z = 2212
Acelerômetro;X = 48;Y = -8 ;Z = 2192
Acelerômetro;X = 50;Y = 6 ;Z = 2195
Acelerômetro;X = 53;Y = 3 ;Z = 2201
Acelerômetro;X = 54;Y = -1 ;Z = 2207
Acelerômetro;X = 53;Y = 7 ;Z = 2198
Acelerômetro;X = 33;Y = -4 ;Z = 2212
Acelerômetro;X = 54;Y = -13 ;Z = 2172
Acelerômetro;X = 60;Y = -10 ;Z = 2194
Acelerômetro;X = 55;Y = -7 ;Z = 2193
Acelerômetro;X = 62;Y = 3 ;Z = 2194
Acelerômetro;X = 54;Y = -7 ;Z = 2193
Acelerômetro;X = 56;Y = -7 ;Z = 2186
Acelerômetro;X = 47;Y = 0 ;Z = 2189
Acelerômetro;X = 44;Y = -7 ;Z = 2192
Acelerômetro;X = 48;Y = -8 ;Z = 2203
Acelerômetro;X = 42;Y = -14 ;Z = 2195
Acelerômetro;X = 52;Y = -6 ;Z = 2203
Acelerômetro;X = 54;Y = -5 ;Z = 2205
Acelerômetro;X = 58;Y = 4 ;Z = 2203
Acelerômetro;X = 51;Y = -8 ;Z = 2204
Acelerômetro;X = 58;Y = 4 ;Z = 2201
Acelerômetro;X = 46;Y = 3 ;Z = 2206
Acelerômetro;X = 42;Y = -6 ;Z = 2209
Acelerômetro;X = 54;Y = -3 ;Z = 2208
Acelerômetro;X = 52;Y = -9 ;Z = 2194
Acelerômetro;X = 52;Y = -11 ;Z = 2211
Acelerômetro;X = 57;Y = 3 ;Z = 2219
Acelerômetro;X = 47;Y = -10 ;Z = 2199
Acelerômetro;X = 66;Y = -4 ;Z = 2200
Acelerômetro;X = 46;Y = -11 ;Z = 2185
Acelerômetro;X = 56;Y = -15 ;Z = 2192
Acelerômetro;X = 51;Y = 3 ;Z = 2189
Acelerômetro;X = 57;Y = -9 ;Z = 2198
Acelerômetro;X = 69;Y = 2 ;Z = 2199
Acelerômetro;X = 62;Y = -3 ;Z = 2182
Acelerômetro;X = 40;Y = -8 ;Z = 2201
Acelerômetro;X = 50;Y = -5 ;Z = 2212
Acelerômetro;X = 62;Y = -7 ;Z = 2195
Acelerômetro;X = 46;Y = -4 ;Z = 2210
Acelerômetro;X = 45;Y = -2 ;Z = 2201
Acelerômetro;X = 43;Y = 12 ;Z = 2195
Acelerômetro;X = 62;Y = -4 ;Z = 2196
Acelerômetro;X = 47;Y = -17 ;Z = 2211
Acelerômetro;X = 57;Y = -6 ;Z = 2195
Acelerômetro;X = 52;Y = 1 ;Z = 2206
Acelerômetro;X = 49;Y = -3 ;Z = 2197
Acelerômetro;X = 48;Y = -2 ;Z = 2202
Acelerômetro;X = 57;Y = -2 ;Z = 2210
Acelerômetro;X = 52;Y = -15 ;Z = 2205
Acelerômetro;X = 58;Y = -16 ;Z = 2183
Acelerômetro;X = 60;Y = -5 ;Z = 2185
Acelerômetro;X = 49;Y = 0 ;Z = 2187
Acelerômetro;X = 52;Y = 2 ;Z = 2199
Acelerômetro;X = 57;Y = -3 ;Z = 2210
Acelerômetro;X = 56;Y = -8 ;Z = 2206
Acelerômetro;X = 54;Y = 13 ;Z = 2201
Acelerômetro;X = 47;Y = -9 ;Z = 2209
Acelerômetro;X = 52;Y = 0 ;Z = 2209
Acelerômetro;X = 49;Y = -19 ;Z = 2212
Acelerômetro;X = 53;Y = -7 ;Z = 2202
Acelerômetro;X = 63;Y = -14 ;Z = 2195
Acelerômetro;X = 54;Y = 2 ;Z = 2213
Acelerômetro;X = 53;Y = -9 ;Z = 2195
Acelerômetro;X = 44;Y = 0 ;Z = 2205
Acelerômetro;X = 47;Y = -9 ;Z = 2186
Acelerômetro;X = 54;Y = -6 ;Z = 2194
Acelerômetro;X = 44;Y = -2 ;Z = 2194
Acelerômetro;X = 42;Y = -6 ;Z = 2209
Acelerômetro;X = 53;Y = -4 ;Z = 2174
Acelerômetro;X = 54;Y = -10 ;Z = 2185
Acelerômetro;X = 53;Y = 6 ;Z = 2204
Acelerômetro;X = 56;Y = -10 ;Z = 2196
Acelerômetro;X = 55;Y = 0 ;Z = 2210
Acelerômetro;X = 55;Y = -4 ;Z = 2219
Acelerômetro;X = 58;Y = -1 ;Z = 2209
Acelerômetro;X = 59;Y = -9 ;Z = 2203
Acelerômetro;X = 47;Y = 2 ;Z = 2203
Acelerômetro;X = 47;Y = -5 ;Z = 2183
Acelerômetro;X = 49;Y = -4 ;Z = 2196
Acelerômetro;X = 47;Y = -8 ;Z = 2193
Acelerômetro;X = 43;Y = -8 ;Z = 2215
Acelerômetro;X = 56;Y = -8 ;Z = 2190
Acelerômetro;X = 46;Y = -10 ;Z = 2179
Acelerômetro;X = 47;Y = -3 ;Z = 2211
Acelerômetro;X = 41;Y = -14 ;Z = 2183
Acelerômetro;X = 48;Y = 2 ;Z = 2199
Acelerômetro;X = 51;Y = -1 ;Z = 2210
Acelerômetro;X = 57;Y = -3 ;Z = 2204
Acelerômetro;X = 61;Y = 3 ;Z = 2193
Acelerômetro;X = 49;Y = 0 ;Z = 2193
Acelerômetro;X = 44;Y = -7 ;Z = 2189
Acelerômetro;X = 47;Y = -10 ;Z = 2176
Acelerômetro;X = 60;Y = -15 ;Z = 2183
Acelerômetro;X = 49;Y = -5 ;Z = 2195
Acelerômetro;X = 48;Y = -3 ;Z = 2193
Acelerômetro;X = 50;Y = -14 ;Z = 2207
Acelerômetro;X = 54;Y = -12 ;Z = 2194
Acelerômetro;X = 47;Y = 4 ;Z = 2199
Acelerômetro;X = 48;Y = -9 ;Z = 2206
Acelerômetro;X = 54;Y = -14 ;Z = 2199
Acelerômetro;X = 57;Y = -18 ;Z = 2195
Acelerômetro;X = 52;Y = -4 ;Z = 2191
Acelerômetro;X = 47;Y = 14 ;Z = 2187
Acelerômetro;X = 54;Y = 0 ;Z = 2188
Acelerômetro;X = 55;Y = 11 ;Z = 2189
Acelerômetro;X = 51;Y = -14 ;Z = 2204
Acelerômetro;X = 33;Y = 9 ;Z = 2197
Acelerômetro;X = 50;Y = 9 ;Z = 2195
Acelerômetro;X = 63;Y = 6 ;Z = 2189
Acelerômetro;X = 53;Y = -5 ;Z = 2188
Acelerômetro;X = 51;Y = 1 ;Z = 2194
Acelerômetro;X = 57;Y = -14 ;Z = 2189
Acelerômetro;X = 55;Y = -11 ;Z = 2193
Acelerômetro;X = 44;Y = 0 ;Z = 2206
Acelerômetro;X = 63;Y = -3 ;Z = 2192
Acelerômetro;X = 65;Y = -7 ;Z = 2190
Acelerômetro;X = 50;Y = 3 ;Z = 2218
Acelerômetro;X = 55;Y = -2 ;Z = 2202
Acelerômetro;X = 48;Y = 5 ;Z = 2198
Acelerômetro;X = 54;Y = -3 ;Z = 2200
Acelerômetro;X = 53;Y = -2 ;Z = 2209
Acelerômetro;X = 54;Y = -9 ;Z = 2191
Acelerômetro;X = 56;Y = -17 ;Z = 2194
Acelerômetro;X = 45;Y = 0 ;Z = 2208
Acelerômetro;X = 50;Y = -5 ;Z = 2190
Acelerômetro;X = 45;Y = -9 ;Z = 2186
Acelerômetro;X = 52;Y = -9 ;Z = 2192
Acelerômetro;X = 54;Y = 3 ;Z = 2198
Acelerômetro;X = 47;Y = -25 ;Z = 2178
Acelerômetro;X = 57;Y = 8 ;Z = 2190
Acelerômetro;X = 58;Y = -8 ;Z = 2191
Acelerômetro;X = 45;Y = -9 ;Z = 2192
Acelerômetro;X = 54;Y = -1 ;Z = 2199
Acelerômetro;X = 50;Y = -9 ;Z = 2205
Acelerômetro;X = 45;Y = 8 ;Z = 2197
Acelerômetro;X = 36;Y = 0 ;Z = 2204
Acelerômetro;X = 57;Y = -21 ;Z = 2213
Acelerômetro;X = 43;Y = -14 ;Z = 2189
Acelerômetro;X = 52;Y = -16 ;Z = 2196
Acelerômetro;X = 38;Y = -2 ;Z = 2188
Acelerômetro;X = 49;Y = 0 ;Z = 2183
Acelerômetro;X = 42;Y = -4 ;Z = 2193
Acelerômetro;X = 57;Y = 12 ;Z = 2196
Acelerômetro;X = 62;Y = -2 ;Z = 2204
Acelerômetro;X = 50;Y = -1 ;Z = 2207
Acelerômetro;X = 63;Y = -7 ;Z = 2203
Acelerômetro;X = 51;Y = -4 ;Z = 2185
Acelerômetro;X = 54;Y = -2 ;Z = 2196
Acelerômetro;X = 62;Y = 0 ;Z = 2194
Acelerômetro;X = 50;Y = -3 ;Z = 2186
Acelerômetro;X = 43;Y = -10 ;Z = 2196
Acelerômetro;X = 50;Y = -7 ;Z = 2193
Acelerômetro;X = 53;Y = -4 ;Z = 2188
Acelerômetro;X = 53;Y = 1 ;Z = 2192
Acelerômetro;X = 41;Y = -6 ;Z = 2186
Acelerômetro;X = 52;Y = -12 ;Z = 2197
Acelerômetro;X = 39;Y = 1 ;Z = 2193
Acelerômetro;X = 35;Y = -5 ;Z = 2211
Acelerômetro;X = 51;Y = 4 ;Z = 2198
Acelerômetro;X = 59;Y = 5 ;Z = 2208
Acelerômetro;X = 50;Y = 6 ;Z = 2208
Acelerômetro;X = 52;Y = -6 ;Z = 2203
Acelerômetro;X = 58;Y = -3 ;Z = 2203
Acelerômetro;X = 53;Y = -14 ;Z = 2187
Acelerômetro;X = 55;Y = -12 ;Z = 2191
Acelerômetro;X = 56;Y = -14 ;Z = 2196
Acelerômetro;X = 46;Y = -5 ;Z = 2183
Acelerômetro;X = 54;Y = 3 ;Z = 2204
Acelerômetro;X = 48;Y = -6 ;Z = 2195
Acelerômetro;X = 65;Y = 3 ;Z = 2195
Acelerômetro;X = 40;Y = -4 ;Z = 2175
Acelerômetro;X = 37;Y = -4 ;Z = 2186
Acelerômetro;X = 49;Y = -3 ;Z = 2187
Acelerômetro;X = 53;Y = 1 ;Z = 2197
Acelerômetro;X = 54;Y = 5 ;Z = 2198
Acelerômetro;X = 45;Y = 19 ;Z = 2185
Acelerômetro;X = 50;Y = -19 ;Z = 2193
Acelerômetro;X = 53;Y = -17 ;Z = 2202
Acelerômetro;X = 40;Y = -5 ;Z = 2200
Acelerômetro;X = 45;Y = -5 ;Z = 2201
Acelerômetro;X = 52;Y = -15 ;Z = 2205
Acelerômetro;X = 61;Y = -13 ;Z = 2198
Acelerômetro;X = 37;Y = -12 ;Z = 2206
Acelerômetro;X = 43;Y = -11 ;Z = 2195
Acelerômetro;X = 61;Y = -2 ;Z = 2210
Acelerômetro;X = 40;Y = -3 ;Z = 2186
Acelerômetro;X = 51;Y = -6 ;Z = 2193
Acelerômetro;X = 60;Y = -10 ;Z = 2194
Acelerômetro;X = 52;Y = -17 ;Z = 2195
Acelerômetro;X = 61;Y = -11 ;Z = 2187
Acelerômetro;X = 52;Y = -2 ;Z = 2171
Acelerômetro;X = 39;Y = -9 ;Z = 2202
Acelerômetro;X = 53;Y = -12 ;Z = 2181
Acelerômetro;X = 43;Y = -15 ;Z = 2197
Acelerômetro;X = 57;Y = -2 ;Z = 2210
Acelerômetro;X = 50;Y = 8 ;Z = 2209
Acelerômetro;X = 48;Y = 7 ;Z = 2205
Acelerômetro;X = 51;Y = -2 ;Z = 2202
Acelerômetro;X = 52;Y = -14 ;Z = 2188
Acelerômetro;X = 66;Y = -27 ;Z = 2197
Acelerômetro;X = 66;Y = -13 ;Z = 2208
Acelerômetro;X = 49;Y = -8 ;Z = 2199
Acelerômetro;X = 39;Y = -5 ;Z = 2191
